O fato de viver não é suficiente para experimentar a realidade de ser; (Carlos Bernardo Gonzalez Pecotche)
A vida só pode ser entendida olhando-se para trás. Mas só pode ser vivida olhando-se para frente.; (S. Kierkegaard)
A esperança não é um sonho, mas uma maneira de traduzir os sonhos em realidade.; (Suenens)
Mesmo as noites totalmente sem estrelas podem anunciar a aurora de uma grande realização.; (Martin Luther King)
A verdadeira maneira de se enganar é julgar-se mais sabido que outros.; (La Rochefoucauld)
O bom senso é o que há de mais bem distribuído no mundo pois cada um pensa estar bem provido dele.; (René Descartes)
São fúteis e cheias de erros as ciências que não nasceram da experimentação, mãe de todo conhecimento.; (Leonardo da Vinci)
Quem conhece a sua ignorância revela a mais profunda sapiência. Quem ignora a sua ignorância vive na mais profunda ilusão.; (Lao-Tsé)
Só me interessam os passos que tive de dar na vida para chegar a mim mesmo.; (Herman Hesse)
Liberdade é o direito de fazer tudo aquilo que as leis permitem.; (Charles de Montesquie)
Digno de admiração é aquele que tendo tropeçado ao dar o primeiro passo, levanta-se e segue em frente.; (Carlos Fox)
Não há progresso sem mudança. E, quem não consegue mudar a si mesmo, acaba não mudando coisa alguma.; (George Bernard Shaw)
A tragédia da vida é que nos tornamos velhos cedo demais e sábios tarde demais.; (Benjamin Franklin)
A luta é lei da vida, devendo ser enfrentada uma e mil vezes, não com insegurança, senão com plena consciência de que é ineludível.; (Carlos Bernardo Gonzalez Pecotche)
A nossa natureza está no movimento, o repouso completo é a morte.; (Blaise Pascal)
Grandes mentes devem estar prontas não só para agarrar as oportunidades, mas para fazê-las surgir.; (Colton)
Todo homem morre, mas nem todo homem vive.; (Willian Wallace)
É um propósito comum querer ser mais do que se é; mas a maioria anula a si mesmo porque, ao invés de ser, aparenta ser.; (Carlos Bernardo Gonzalez Pecotche)
As amizades reatadas requerem maiores cuidados que aquelas que nunca foram rompidas.; (Le Rochefoucauld)
A amizade começa quando, estando juntas, duas pessoas podem permanecer em silêncio sem se sentir constrangidas.; (Tyson Gentry)
Tentar e falhar é, pelo menos, aprender. Não chegar a tentar é sofrer a inestimável perda do que poderia ter sido.; (Geraldo Eustáquio)
A morte do homem começa no instante em que ele desiste de aprender.; (Albino Teixeira)
A adversidade é um trampolim para a maturidade.; (C.C. Colton)
O sucesso tem muitos pais; o fracasso é um órfão solitário.; (John F. Kennedy)
Cada saída é uma entrada para algum lugar.; (Tom Stoppard)
Tropeçamos sobre a verdade, e na maioria das vezes nos levantamos e continuamos andando.; (Winston Churchill)
A necessidade é a mãe de toda invenção.; (Platão)
Quando todos estão contra você quer dizer que você está absolutamente errado, ou absolutamente certo.; (Albert Guinon)
Antes de começar a criticar os defeitos dos outros, enumera ao menos dez dos teus.; (Abraham Lincoln)
Para entender o coração e a mente de uma pessoa, não olhe para o que ela já conseguiu, mas para o que ela aspira.; (Kalil Gibran)
Sede como os pássaros que, ao pousarem um instante sobre ramos muito leves, sentem-nos ceder, mas cantam! Eles sabem que possuem asas.; (Victor Hugo)
Se quiseres, confia na pata do coelho: mas lembre-se de que ela não deu sorte nem ao coelho.; (R. E. Shay)
Se queremos progredir, não devemos repetir a história, mas fazer uma história nova.; (Gandhi)
Uma vida não questionada não merece ser vivida.; (Platão)
Os valores que em verdade possuímos, não é necessário exibi-los: eles se evidenciam por si sós.; (Carlos Bernardo González Pecotche)
A vida não consiste em ter boas cartas na mão e sim em jogar bem as que se tem.; (Josh Billings)
Quão maravilhosas as pessoas que não conhecemos bem!; (Millor Fernandes)
A televisão é a maior maravilha da ciência a serviço da imbecilidade humana.; (Apparicio Torelly)
A felicidade murcha como as flores; entretanto, assim como o bom jardineiro sempre tem a seu alcance outras para substituí-las, quem possui conhecimentos pode, também, substituir constantemente os motivos que dão permanência à felicidade na vida.; (Carlos Bernardo González Pecotche)
Olhe para você. Faz sempre as mesmas coisas e pergunta por que elas não melhoram...; (Spencer Johnson)
Gostamos de alguém porque; amamos alguém apesar de.; (Henri de Montherland)
Se você rouba idéias de um autor, é plágio. Se você rouba de muitos autores, é pesquisa.; (Wilson Mizner)
Engraçado, costumam dizer que tenho sorte. Só eu sei que quanto mais eu me preparo mais sorte eu tenho.; (Anthony Robbins)
Ha vários motivos para não se amar uma pessoa e um só para ama-la.; (Carlos Drumond de Andrade)
Os homens prudentes sabem tirar proveito de todas as suas ações, mesmo daquelas a que são obrigados pela necessidade.; (Maquiável)
É graça divina começar bem. Graça maior persistir na caminhada certa. Mas a graça das graças é não desistir nunca.; (Helder Câmara)
Se quiser por à prova o caráter de um homem, dê lhe poder.; (Abraham Lincoln)
A felicidade não é uma estação ao qual chegaremos, mas sim uma forma de viajar.; (Margaret Lee Runbeck)
O trabalho espanta três males: o vício, a pobreza e o tédio.; (Voltaire)
Pipas sobem mais alto contra o vento, não a favor dele.; (Winston Churchill)
Procure ser uma pessoa de valor, em vez de ser uma pessoa de sucesso.; (Albert Einstein)
A vida não deve ser colocada dentro dos problemas, mas os problemas dentro da vida.; (Carlos Bernardo González Pecotche)
